T02,"Population, density and surface area",,,,,
14,Eastern Africa,2019,Sex ratio (males per 100 females),98.5,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
14,Eastern Africa,2019,Population aged 0 to 14 years old (percentage),42.2,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
14,Eastern Africa,2019,Population aged 60+ years old (percentage),4.5,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
14,Eastern Africa,2019,Population density,65.1,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
14,Eastern Africa,2019,Surface area (thousand km2),"6,667",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
14,Eastern Africa,2021,Population mid-year estimates (millions),457.05,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
14,Eastern Africa,2021,Population mid-year estimates for males (millions),226.87,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
14,Eastern Africa,2021,Population mid-year estimates for females (millions),230.19,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
14,Eastern Africa,2021,Sex ratio (males per 100 females),98.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
14,Eastern Africa,2021,Population aged 0 to 14 years old (percentage),41.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
14,Eastern Africa,2021,Population aged 60+ years old (percentage),4.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
14,Eastern Africa,2021,Population density,68.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
17,Middle Africa,2010,Population mid-year estimates (millions),131.62,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
17,Middle Africa,2010,Population mid-year estimates for males (millions),65.53,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
17,Middle Africa,2010,Population mid-year estimates for females (millions),66.09,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
17,Middle Africa,2010,Sex ratio (males per 100 females),99.1,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
17,Middle Africa,2010,Population aged 0 to 14 years old (percentage),45.8,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
17,Middle Africa,2010,Population aged 60+ years old (percentage),4.4,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
17,Middle Africa,2010,Population density,20.3,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
17,Middle Africa,2015,Population mid-year estimates (millions),154.20,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
17,Middle Africa,2015,Population mid-year estimates for males (millions),76.88,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
17,Middle Africa,2015,Population mid-year estimates for females (millions),77.32,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
17,Middle Africa,2015,Sex ratio (males per 100 females),99.4,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
17,Middle Africa,2015,Population aged 0 to 14 years old (percentage),45.8,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
